HINDI 	MARATHI 	SCORE
फूलों	फुलांनी	0.985515
फूलों	फुलांचे	0.985508
फूलों	फुलांच्या	0.985507
फ्लाइंग	फ्लाईंग	0.985507
लाइन	लाइनची	0.985505
कस्बा	कसबा	0.985502
कस्‍बा	कसबा	0.985502
कलायें	कला	0.985501
पुलों	पूलांवरुन	0.985499
कस्बे	कसब्यात	0.985499
कला	कलेचे	0.985497
बोटिंग	बोटींग	0.985497
कसबे	कसब्याच्या	0.985497
कला	कलेच्या	0.985496
कस्बे	कसब्याचे	0.985493
किमी	किमी.	0.985492
मालिश	मालीश	0.985491
भाषाओं	भाषां	0.98549
बैंक	बँक	0.985489
किमी.	किमी	0.985489
ब्रिज	ब्रिजच्या	0.985488
फूलों	फूलांचे	0.985487
भवन	``भवन	0.985486
भाषा	भाषेच्या	0.985485
लौंग	लवंग	0.985484
बैंक	बॅंक	0.985482
मालिक	मालक	0.985482
भिक्षु	भिक्षू	0.985471
कला	कलेचा	0.985471
बीच	बीचवर	0.98547
`बीच	बीच	0.985468
`बीच`	बीच	0.985468
भाषाएँ	भाषा	0.985468
किमी	किमीच्या	0.985465
भवन	भवनाचे	0.985465
लाइन	लाइनचे	0.985464
भाषा	भाषेत	0.985464
भवन	भवनाच्या	0.985461
भय	भीती	0.985461
लाइन	लाइनवर	0.98546
भवन	भवनात	0.985459
कला	कलेवर	0.985459
लिंग	लिंगावर	0.985458
भावना	भावनेने	0.985457
भवन	भवनाची	0.985457
भवन	भवने	0.985453
बागों	बागांचे	0.985452
भावना	भावनेत	0.985451
स्थिति	स्थिती	0.985447
सांभर	सांबार	0.985445
सलाह	सल्ला	0.985443
भाग	भागाने	0.98544
प्रेम	``प्रेम	0.98544
बाइक	बाईक	0.985439
फूलों	फ़ुलांसठी	0.985436
शांति	``शांती	0.985435
शांति	शांती	0.985435
भागों	भागांवर	0.985435
बसें	बसेंस	0.985429
रोजाना	रोज	0.985425
रेखाओं	रेषांनी	0.985424
