HINDI 	MARATHI 	SCORE
बाँध	बांधू	0.985483
बनवा	बनवून	0.985482
बाँध	बांधून	0.985473
बँधे	बांधून	0.98547
बनाती	बनवते	0.985465
बनाएँ	बनवा	0.985463
बनवाया	बनवून	0.985461
बनाएँ	बनवू	0.985459
आधार	आहेत	0.985459
बाँधा	बनवून	0.985458
बन	बनून	0.985458
बनवाई	बनवून	0.985456
आया	आहे	0.985453
बनवाए	बनवून	0.985449
बना	बनवू	0.985447
बनाना	बनवू	0.985445
बनाने	बांधण्यास	0.985444
बना	बनवा	0.985438
बनाना	बनवणे	0.985435
भर	भरून	0.985432
बना	बनवत	0.985429
स्थित	साकार	0.985426
बनने	बनण्यास	0.985423
बनाने	बनवू	0.985421
बना	बनवतो	0.985417
भिगोकर	भिजवून	0.985415
बनवाने	बनवण्याच्या	0.985414
बनवाने	बनवण्याचे	0.985413
बनाने	बनवण्याची	0.985403
बनाने	बनवण्याच्या	0.985403
बनाने	बनवण्यात	0.985399
बनाया	बनवण्यात	0.985397
बनाने	बनवण्याचे	0.985395
बाँधकर	बांधून	0.985394
बना	बनवते	0.985393
बनाते	बनवताना	0.985386
भोगा	भोगणे	0.985382
रहिए	रहा	0.985381
खाना	खाणे	0.98538
बनवाया	बांधून	0.985377
भर	भरुन	0.985373
बनाने	बनवण्याचा	0.985372
भीगते	भिजत	0.985371
बन	बांधुन	0.985369
बन	बनू	0.985361
बनाए	बनवण्यात	0.985356
रुकने	राहण्याची	0.985355
बन	बनत	0.985351
बनते	बनत	0.98535
बनाती	बनवतात.	0.985344
बनाने	बनवणारा	0.985344
भौंकने	भुंकणारी	0.985341
बना	बनवतात.	0.985339
बनने	बनण्याच्या	0.985339
लगाकर	लावून	0.98533
आता	आहेत	0.985327
बन	बनल्यानंतर	0.985326
बनाने	बनवायचे	0.985325
बनाती	बनवतात	0.985323
नहा	न्हाउन	0.985323
शुरू	सुरु	0.985303
जानने	जाणणे	0.985297
बनाते	बनवतात	0.985296
रहा	राहत	0.985294
खाने	खाण्या	0.985289
जाना	जाणे	0.985269
बनवाकर	बनवून	0.985267
शुरू	सुरू	0.985256
याद	आहे	0.985249
स्थित	सांगत	0.985245
लिये	नसलेल्यासाठी	0.985236
खाने	खाण्यास	0.985218
जाने	जाणो	0.98521
आइए	या	0.985207
बने	बनविण्यात	0.9852
बनती	बनवतात	0.98519
बनता	बनत	0.98517
लगा	लागून	0.985164
बनकर	बांधून	0.985159
पिएँ	पिऊ	0.985157
मानते	मानत	0.985147
माना	मानावे	0.985134
करें	करां	0.985129
बनाए	बनवतात	0.985121
रहता	राहतो.	0.985102
नहाया	नाहलेले	0.985094
चमकते	चमकणारे	0.985088
चमक	चमकत	0.985086
रहने	रहाण्याचे	0.985081
कराना	करविणे	0.985079
खरीद	करु	0.985073
रहता	राखून	0.985071
बरस	बरसत	0.985064
पहुँचने	पोहचण्यास	0.985058
रहें	रहा	0.985047
फूलता	फूलतो.	0.985045
रहेगा	राहण्याचे	0.985038
आते	आठवतो	0.985022
लगाए	लावता	0.985019
बनती	बनते	0.985011
करना	करणे	0.985009
सुनाना	सांगणे	0.984998
बनाये	बनविण्यात	0.98499
बनते	बनतात	0.984985
रखते	राखून	0.984983
बनाकर	बनून	0.98498
जानते	जाणत	0.984977
भिगो	भिजवत	0.984977
करवा	करू	0.984966
बन	बनते	0.984966
नाच	नाचत	0.984965
करें	करांवे	0.984959
सजता	सजतो	0.984959
करते	करीत	0.984956
रह	राहून	0.984939
रहना	राहणे	0.984932
बन	बनतात	0.984928
नाचे	नाचले	0.984914
चलाती	चालवते	0.984908
करवाना	करणे	0.98488
निकाली	निघते	0.984874
लादे	लादून	0.984874
रखने	असणार्‍यांसाठी	0.984871
खुल	खुलते	0.984863
रहता	राहतो	0.984859
रहता	राहत	0.984853
रहता	राहते	0.984847
बनता	बनते	0.984843
लिखते	लिहितात	0.984838
मिलती	मिळत	0.984837
नहाया	नाहले	0.984837
बनाने	बनविण्याचा	0.984824
आ	आहे	0.984823
रहने	राहण्याची	0.984814
रहने	राहण्याचे	0.984813
रहता	राहते.	0.984807
करती	करु	0.9848
मानकर	मानून	0.984789
करने	करणे	0.984787
कर	करत	0.984784
रहने	राहण्या	0.984782
करा	करणे	0.984781
चढ़ते	चढवतात	0.984773
पूजते	पूजतात	0.984769
करेगी	करेल	0.984761
मानते	मानतात.	0.98475
आवागमन	येणे	0.984742
आना	नाही	0.984742
मरवा	मारून	0.984741
बैठने	बसण्याची	0.984732
लगाते	लगातात	0.984729
पहुँच	पोहचू	0.984728
कर	करु	0.984707
खोला	खोलले	0.984707
रो-रोकर	रडत	0.984705
फैले	पसरेलेल्या	0.984694
कर	करते	0.984689
करने	करणारे	0.984677
बनाने	बनवल्यानंतर	0.984669
बनने	बनल्याने	0.984665
पीना	पिणे	0.984663
पहुँचे	पोहचा	0.984658
कर	करतच	0.984651
खप	खपू	0.984649
बदल	बदलले	0.984646
भाती	भावते	0.984645
सजाया	सजतो	0.984642
खरीदना	करु	0.98464
आता	आहे	0.984631
पीते	पितात	0.984626
पड़	पडू	0.984614
आते	आहे	0.984614
नजर	नाही	0.984613
करने	करणार	0.984611
उतरा	उतरता	0.984601
लगते	लागणारे	0.984578
करना	करण्यास	0.984578
बनती	बनतो	0.984576
बुलाए	बो्लावले	0.98457
चलते	चलतात	0.984555
आइये	यावे	0.984551
फूट	फुटू	0.984541
करने	करण्यास	0.98454
निभाता	निभावतो	0.984526
पहुँचा	पोहचावे	0.984523
पड़	पडू	0.984521
होती	होतात	0.984501
होती	हो्तात	0.984501
आगमन	आहे	0.984498
बनाकर	बनवून	0.984497
बदलते	बदलणारे	0.984486
करते	करण्याची	0.984485
जानना	जाणून	0.984469
छूते	येतानाचा	0.984461
रहना	रहायचे	0.984448
खोला	केले	0.984448
उतरना	उतरणेच	0.984442
निकलना	निघणे	0.984437
फेरना	फिरविणे	0.984435
माना	मानतात	0.984425
जाना-माना	आहे	0.984422
धो	धुवू	0.984422
करती	करते	0.9844
चढ़ना	चढणे	0.984395
करते	करताना	0.984374
लगाते	लागताच	0.984373
खेल	खेळत	0.984357
खरीद	करू	0.98434
सीखा	आहे	0.984322
मनाते	मानतात.	0.984318
चख	चाखू	0.984308
था	थकविणारा	0.984306
पहुँचना	पोहचणार	0.984306
चलाती	चालवतात	0.984291
कराते	करणारे	0.984267
देखने	जाणे	0.984257
जाए	जा	0.984254
रहने	राहणार्‍यांसाठी	0.98425
करती	करते.	0.984249
फैली	पसरलेली	0.984244
चलाती	चालवत	0.984241
मानना	मानणे	0.98423
लगते	लागतात.	0.984224
बनने	बनणारी	0.984213
माना	मानण्यात	0.984211
कराती	करते	0.98421
फैली	पसरेल्या	0.984204
जा	जाऊ	0.984202
फेंक	फेकून	0.984199
कराना	करायचा	0.984198
करते	करा.	0.984175
मानते	मानतात	0.984172
चला	चालवत	0.984164
खेला	खेळत	0.984162
करना	करुन	0.984159
पी	पिऊन	0.98415
बदलने	बदलल्यावर	0.984147
बनने	बनवल्यानंतर	0.984146
बोली	बोलली	0.984144
उतरना	उतरुन	0.984142
फैली	पसरलेले	0.984128
झूलती	झूलणारी	0.984115
करते	करत-करत	0.984112
मानने	मानणार्‍या	0.984109
आता	येते.	0.984108
फेंकता	फेकतो	0.984097
होता	होतात	0.984097
लगाई	लावण्यात	0.984092
कराना	करणे	0.984091
बोलने	बोलणारे	0.984079
पहुँचने	पोहचण्या	0.98407
पाते	पाहताच	0.984068
खोलते	खोलताना	0.984059
बनीं	बनले	0.984055
पहुँचा	पोहचता	0.984045
चले	चालत	0.984045
उतारते	उतरवतात	0.984041
कूटने	कूटणे	0.984031
मिलता	मिळत	0.984013
करते	करत	0.984009
आकर्षित	करेल	0.984007
बनती	बनतात	0.98398
कर	करू	0.983979
फैली	पसरलेला	0.983979
जानने	जाणण्याचा	0.983976
बना	बोचणारी	0.983974
युक्‍त	आहे	0.98397
जाना	जाण्यास	0.983967
पड़ने	पडू	0.983962
करने	करण्याच्या	0.98396
बदलकर	बदलून	0.98395
लगता	लागते	0.983941
खेला	खेळला	0.983935
कराती	करवते	0.983916
भरती	भरतात	0.983914
चढ़	चढा	0.983909
पहुँचा	पोचवत	0.983908
करने	करण्यात	0.983906
लगती	धुतल्यासारखा	0.983897
मांगी	मानतात	0.983893
रखता	राखते	0.983893
निभा	निभावू	0.983885
जाया	जाऊ	0.983869
लदने	लादण्यास	0.983864
रहते	राहत	0.983863
लुत्फ़	लुटतात	0.983849
करेंगे	करतील	0.983849
फैले	पसरलेले	0.983844
बदल	बदलेला	0.983836
कराने	करण्याची	0.983834
पड़ने	पडणारे	0.983832
करती	करतात.	0.983831
बदल	बदलला	0.983828
जाता	जाते.	0.983825
बनाकर	बांधून	0.983813
बदलने	बनवला	0.983807
बैठने	बसण्याच्या	0.983804
भरते	भरतात	0.983804
पहुँचे	पोहचावे	0.9838
खाने	खाण्याची	0.983774
चलाते	चालवत	0.983763
करते	करतात.	0.983744
जाती	जातो	0.98374
कराता	करते	0.983733
करती	करत	0.983725
जाती	जाते	0.983724
कर	करणे	0.983724
चलाते	चालवतात	0.983722
लटकती	लटकत	0.983711
पड़ने	पडू	0.983692
उतरते	उतरत्या	0.983686
पहुँचे	पोहोचा	0.983675
उतरती	उतारता	0.98367
रहने	राहण्याचा	0.983666
जाइए	जा	0.983666
कराना	करुन	0.983661
बोलते	बोलतात	0.98366
चढ़ाते	चढवतात	0.983659
फूलने	फ़ुलल्याने	0.983653
फैला	पसरलेला	0.983648
जानने	जाणून	0.983643
बदलता	बदलणारा	0.983643
जा	जाणार	0.983617
होते	होतात	0.983603
दिए	आहे	0.983597
मानने	मानणारे	0.983582
बदला	बदलला	0.983558
दिया	देत	0.983537
जाती	जात	0.983534
फैले	पसरलेला	0.983514
बसा	बनले	0.983505
करतीं	करतात	0.983502
मिलता	मिळणे	0.98349
जाना	जायचे	0.983485
फैली	पसरले्ल्या	0.983483
फैली	पसरलेल्या	0.983483
उठता	आहे	0.983477
करते	करतानाच	0.983474
जानने	जाणण्याची	0.983473
फैले	पसरलेली	0.983447
बदला	बदलले	0.983442
कराती	करुन	0.983434
कराने	करून	0.983423
उतरती	उतरतो	0.983422
कर	करतो	0.983408
लगते	लागतात	0.983383
की	केले	0.983362
चला	चालत	0.983348
फैला	पसरलेल्या	0.983332
जाएँगें	जाणार	0.983326
कराने	करुन	0.983326
आकर्षित	करतो	0.983311
पाली	पाळल्या	0.983308
जाएँ.	जा	0.983298
करती	करतात	0.983284
निहारता	न्याहाळत	0.983272
रह	राहते	0.983264
होते	होतात.	0.983264
पहुँच	पोहचु	0.983253
पहुँचती	पोहचते	0.98325
कर	करता	0.983247
लेकर	लगतात	0.983241
दिखा	दाखवत	0.983238
फैलती	पसरलेली	0.983225
जाते	जातो	0.98322
फैलाये	पसरलेल्या	0.983211
पहुँचा	पोहचवतो	0.983206
खरीदना	करणे	0.983204
जाएँ	जा	0.98318
कर	करायचा	0.98315
बुलाया	बोलवले	0.983145
बदलना	बदलू	0.983142
चढ़ते	चढताना	0.983133
आती	येत	0.983126
बैठना	बसणे	0.983124
उतर	उतरु	0.983112
बने	बनली	0.983058
करता	करण्याच्या	0.983052
लगाने	लावूनही	0.983041
करेगा	करेल	0.983036
करने	करण्याचे	0.983035
ध्यान	देऊन	0.983028
चलो	चला	0.983024
मिलती	मिळते.	0.983014
आते	येते.	0.982984
मानने	मानणाऱ्या	0.982977
पहुँचता	पोहचत	0.982942
करते	करून	0.982934
जानना	जाणण्याची	0.982932
जाता	जाते	0.982915
जाता	जातो	0.982893
लटकते	लटकत	0.982873
उतरते	उतरता	0.982873
स्थित	आहे	0.98287
करते	करतात)	0.982837
करते	करतात	0.982837
पहुँचते	पोहचता	0.982833
पड़ने	पडणार्‍या	0.982821
चढ़	चढत	0.982816
आते	येत	0.982808
बनता	बनतो	0.982794
बदलती	बदलते	0.982791
खेलता	खेळत	0.982781
जाओ	जाऊ	0.982779
होती	होता	0.982778
चलते	चालताना	0.982775
रह	राहत	0.982765
जाता	जात	0.982751
खरीदने	करायला	0.982749
बनकर	बनून	0.982735
जा	जाऊन	0.982732
होते	होताच	0.982729
बना	बनला	0.982724
कर	करतो.	0.982717
करना	करु	0.98271
चलकर	चालत	0.982707
पड़ें	पडू	0.982693
देखी	दे	0.982691
टहलने	फिरल्यानंतर	0.98269
बुला	बोलवत	0.982677
देती	देते	0.982671
करने	करणारी	0.982668
देता	देते	0.982653
आता	येते	0.982646
आकर्षित	करते	0.982642
कर	करतात.	0.982619
आवश्यकता	असते	0.982604
जाते	जात	0.982604
होता	होते.	0.982588
उतरता	उतरते	0.98258
जाते	जातात.	0.982559
निकलने	निघणारे	0.982558
मानना	म्हणणे	0.982547
